Name,Event,Date,Number,Ideology,Method,Target,City,Region,Country,Killed,Wounded,Age,Livestream,Manifesto,Social Media,Affiliations,Influences
Ted Kazcynski,Unabomber Mail Bombings,01/01/1978,1,"Anti-government, anti-technology. His philosophy resembles primitivism and green anarchism",Explosives,"University professors, business executives",Multiple,Multiple,United States,3,23,36,No,Yes,Sent letters to the New York Times,None/Unknown,None/Unknown
"Timothy McVeigh, Terry Nichols",Oklahoma City Bombings,19/04/1995,2,"Anti-government, white supremacy",Explosives,Alfred P. Murrah Federal Building,Oklahoma City,Oklahoma,United States,168,720,27,No,No,Letters to sent to News Outlets,Former US Military (Timothy McVeigh),"""Attack was made on the second anniversary of the end of the Waco Siege. McVeigh had expressed anger at the government's handling of the Ruby Ridge standoff and Waco siege.

He's also reported to have joined a KKK branch in Arkansas and blamed equal opportunity laws for his lack of job prospects. """
Anders Breivik,Oslo/Utoya mass shooting,22/07/2011,3,"Far-right extremism, anti-immigration, islamophobia","Explosives, Mass Shooting",Oslo government offices and Workers' Youth League (AUF) summer camp in Utoya.,Oslo and Utoya,Multiple,Norway,77,319,32,No,Yes,Active on Stormfront (neo-nazi website) and Document.no (Islam-critical Norwegian site).,Formerly the Norwegian Progress Party,Sections of his manifesto copied from the Unabomber's manifesto. 
Brunon Kwiecień,Warsaw Bomb Attempt,20/11/2012,4,"Far-right extremism, islamophobia",Explosives,"Polish Government building, politicians",Warsaw,Mazowsze,Poland,0,0,45,No,No,"Praised Anders Breivik, made anti government remarks online",None,None/Unknown
Dylann Roof,Charleston Shooting,17/06/2015,5,"White supremacy, race motivated, igniting a ""race war""",Mass Shooting,Baptist church (black community),Charleston,South Carolina,United States,9,1,21,No,Yes,"Personal website. Active on Stormfront, Daily Stormer","Generated a right-wing group, the ""bowl patrol"", after his haircut","Reportedly influenced by the killing of Trayvon Martin and the 2015 Baltimore protests. In his manifesto, he reports being self-radicalized after googling ""black on white crime"""
Alexandre Bissonnette,Quebec City Mosque Shooting,21/01/2017,6,"Far-right extremism, islamophobia",Mass Shooting,Islamic Cultural Centre of Quebec City,Quebec City,Quebec,Canada,6,19,27,No,No,Twitter,Former Canadian army cadet,Told police he was motivated by the 2014 shooting of a Canadian soldier by a Lybian-Canadian Islam convert with addiction and mental health issues. 
Devon Arthurs,Attomwaffen Division Shooting,19/05/2017,7,"Converted to Islam, shot neo-nazi roommates in retaliation for mockery",Shooting,Jeremy Himmelman Andrew Oneschuk,Tampa,Florida,United States,2,0,18,No,No,None,"Attomwaffen Division, later Salafist National Socialist",Claims to have been preventing further terrorist plots by Attomwaffen roommates
Darren Osborne,Finsbury Park Van Attack,17/06/2017,8,Islamophobia,Vehicle Ramming,Crowd of Muslim pedestrians,London,England,United Kingdom,1,12,47,No,No ,Twitter,None/Unknown,Turned against Muslims in the wake of the London Bridge attack on 3 June 2017.
Luca Traini,Macerata Shooting,03/02/2018,9,"Far-right extremism, anti-immigration",Mass Shooting,African migrants,Macerata,Marche,Italy,0,6,28,No,No,None,Member of Lega Nord,"Said to have been motivated by the prior killing of an 18-year old girl, allegedly by an African asylum seeker."
Robert Bowers,Pittsburgh Synagogue Shooting,27/10/2018,10,"White nationalism, antisemitism",Mass Shooting,Tree of Life Synagogue,Pittsburgh,Pennsylvania,United States,11,6,46,No,No,"Gab, active on other right wing sites","Supporter of the Rise Above Movement (RAM) and Proud Boy, links to several neo-nazi organisations","He wrote """"Screw your optics, I'm going in"""" on Gab on the day of his attack, referencing the ongoing debate about the optics of white nationalism in the wake of the Charlottesville riot.

His writing also echoed Dylann Roof of the Charleston murders."
Brenton Tarrant,Christchurch Shooting,15/03/2019,11,"Alt-right, anti-immigration, white nationalism",Mass Shooting,Al Noor Mosque,Christchurch,Canterbury,New Zealand,51,40,28,Yes,Yes,"Active on 8chan, 4chan, livestreamed attack on Facebook. ","Connected with several right-wing organizations throughout the world, including European and Balkan nationalists, Azov Division, among others. ","Wrote the names of previous offenders (Traini, Bisonnette, Darren Osbourne) as well as the victims of murders by Islamic extremists (Ebba Åkerlund, victim in the 2017 Stockholm truck attack) on his weapons and magazines"
John Earnest,Poway synagogue shooting,27/04/2019,12,"Far right extremism, antisemitism",Mass Shooting,Synagogue,Poway,California,United States,1,3,19,Yes,Yes,"Active on 8chan, 4chan, livestreamed attack on Facebook (attempted) ","Online radicalisation, member of the Orthodox Presbyterian Church.",Manifesto claims to have been inspired by the Christchurch shooter and Robert Bowers.
Patrick Crusius,El Paso Walmart Attack,03/08/2019,13,"White nationalism, anti-immigrant",Mass Shooting,Largely Hispanic shoppers at a Walmart,El Paso,Texas,United States,23,22,21,Yes,No,8chan,Supporter of the Great Replacement theory,Manifesto claims to have been inspired by the Christchurch shooter
Philip Manshaus,Bærum mosque shooting,10/08/2019,14,"Far right extremism, antisemitism, islamophobia",Mass Shooting,Mosque,Bærum,Viken,Norway,1,1,21,Yes,Yes,Endchan. Attempted livestream on Facebook Live., Tried to join Nordic Resistance Movement. Supporter of Nazi collaboration. ,"Posted messages on Endchan praising the Christchurch shooter. 

Also shared a meme depicting Tarrant, Patrick Crusius, and John Earnest as """"chads""""."
Stephan Balliet,Halle Synagogue Attack,08/10/2019,15,"Far right extremism, antisemitism",Mass Shooting,Synagogue,Halle,Saxony-Anhalt,Germany,2,2,27,Yes,Yes,"Meguca, 4chan, livestreamed on Facebook",Linked to Attomwaffen Division Deutschland,"His manifesto referred to Breivik and the Christchurch, El Paso attackers as 'heroes'"
Kankaanpää Terror Plot,Kankaanpää Terror Plot,01/12/2019,16,"Far right extremism,accelerationism",Explosives,Niinisalo Refugee Centre,Kankaanpää,Satakunta,Finland,0,0,24,No,No,Unknown,"Attomwaffen Division Finland, links to Nordic Resistance Movement",Bomb materials and method copied from Anders Breivik
Tobias Rathjen,Hanau Shootings,19/02/2020,17,"Far right extremism, anti-immigration, anti-feminism",Mass Shooting,Shisha bars,Hanau,Hesse,Germany,11,5,43,Yes,No,Telegram; had previously contacted the authorities with about conspiracy theories,None/Unknown,"""After the attack, the shooter went back to his apartment, killed his mother and then committed suicide. 

In addition to his racist and xenophobic motivations, the shooter also expressed his frustration at his lack of relationships with women."""
Hugo Jackson,Eslöv School Stabbing,19/08/2021,18,"White supremacy, far-right extremism",Stabbing,Källeberg School,Eslöv,Skåne,Sweden,0,1,15,Yes,Yes,Livestream on Twitch,None/Unknown,"""He quoted the perpetrator of the Christchurch attack at the beginning of his livestream.

Jackson was a self-described white supremacist despite being non-white."""
Payton Gendron,Buffalo Supermarket Shooting,14/05/2022,19,"White supremacy, far-right extremism",Mass Shooting,"Tops Friendly Markets, supermarket in predominantly black neighbourhood.",Buffalo,New York,United States,10,3,18,Yes,Yes,"Livestream on Twitch, active on the Daily Stormer and Discord. Kept an online diary. ",None/Unknown,"On his rifle he wrote the names of previous killers Dylann Roof, Robert Bowers, Brenton Tarrant, and John Earnest, the acronym SYGAOWN (Stop Your Genocide Against Our White Nations)"
"Robert ""Bobby"" Crimo III",Highland Park parade shooting,04/07/2022,20,"Accelerationism, Suspected far-right, anti-semitic",Mass Shooting,4th of July parade,Highland Park,Illinois,United States,7,48,21,No,No,"Active on 4chan, Discord. ","Supporter of former President Donald Trump, frequented far-right gatherings",Focus on aesthetics and performance rather than ideology. Copied several online activities of previous mass shooters.  
Juraj Krajčík,Bratislava Shooting,12/10/2022,21,"White nationalism, far-right extremism, anti-LGBT, antisemitism",Mass Shooting,LGBT bar,Bratislava,Bratislava,Slovakia,3,1,19,Yes,No,"Livestream on Twitter, active on Twitter, Telegram and 4chan.  ",None/Unknown,"Manifesto celebrates other far-right shooters, including Anders Breivik, Brenton Tarrant and John Earnest"
Anderson Lee Aldrich,Club Q Shooting,19/11/2022,22,"Alleged anti-LGBT, likely far-right",Mass Shooting,"Club Q, LGBT bar",Colorado Springs,Colorado,United States,5,25,22,Yes,No,"Hosted his own neo-Nazi website, sharing violent and racist content, including video from the 2022 Buffalo Shooting. ",None/Unknown,"Aldrich allegedly created a website that included a video that advocated killing civilians to ""cleanse society"" and linked to a ""brother website"" that had hosted footage of the 2022 Buffalo shooting"
Ryan Palmeter,Dollar General Jacksonville Shooting,26/08/2023,23,"White nationalism, anti-black racism",Mass Shooting,Dollar General store,Jacksonville,Florida,United States,4,0,21,Yes,No,Unknown,None/Unknown,"Palmeter was wearing a vest with a Rhodesian Army patch on it, just like Dylann Roof and the Christchurch shooter before him. Also referenced the Oklahoma City Bombings and the Turner Diaries."